currency_pair_cd,execution_dt,execution_id,execution_price,filled_quantity,id,is_cs,markup,open_close,order_id,original_price,sequence_number,side,update_date
BTC_JPY,'2018-11-29 00:00:20,'2018112900014921386,468550,0.0547,6526241,1,0,,'2018112900106709360,0,115871,1,'2018-11-29 09:00:20
BTC_JPY,'2018-11-29 00:00:20,'2018112900014921386,468550,0.0547,6526242,1,0,,'2018112900106708828,0,115872,3,'2018-11-29 09:00:20
BTC_JPY,'2018-11-29 00:00:20,'2018112900014921387,468300,0.005,6526243,1,0,,'2018112900106709360,0,115873,1,'2018-11-29 09:00:20
BTC_JPY,'2018-11-29 00:00:20,'2018112900014921387,468300,0.005,6526244,1,0,,'2018112900106709150,0,115874,3,'2018-11-29 09:00:20
BTC_JPY,'2018-11-29 00:00:20,'2018112900014921388,468000,0.04,6526245,1,0,,'2018112900106709360,0,115875,1,'2018-11-29 09:00:20
BTC_JPY,'2018-11-29 00:00:20,'2018112900014921388,468000,0.04,6526246,1,0,,'2018112900106709209,0,115876,3,'2018-11-29 09:00:20
BTC_JPY,'2018-11-29 00:00:20,'2018112900014921389,467813.24,0.7003,6526247,0,0,,'2018112900106709360,0,115877,1,'2018-11-29 09:00:20
BTC_JPY,'2018-11-29 00:00:20,'2018112900014921391,467813.24,0.0005818899999999738,6526248,0,0,,'2018112900106708971,0,115878,1,'2018-11-29 09:00:20
BTC_JPY,'2018-11-29 00:00:20,'2018112900014921392,467795.41,0.00051285,6526249,0,0,,'2018112900106708971,0,115879,1,'2018-11-29 09:00:20
BTC_JPY,'2018-11-29 00:00:20,'2018112900014921393,467765.7,0.17890526,6526250,0,0,,'2018112900106708971,0,115880,1,'2018-11-29 09:00:20
BTC_JPY,'2018-11-29 00:00:59,'2018112900014921408,468495.7,0.019,6526259,0,0,,'2018112900106709368,0,115881,3,'2018-11-29 09:00:59
BTC_JPY,'2018-11-29 00:01:33,'2018112900014921422,468550,0.04,6526273,1,0,,'2018112900106709374,0,115882,3,'2018-11-29 09:01:33
BTC_JPY,'2018-11-29 00:01:33,'2018112900014921422,468550,0.04,6526274,1,0,,'2018112900106709364,0,115883,1,'2018-11-29 09:01:33
BTC_JPY,'2018-11-29 00:01:33,'2018112900014921423,468635.09,0.5599999999999999,6526275,0,0,,'2018112900106709374,0,115884,3,'2018-11-29 09:01:33
BTC_JPY,'2018-11-29 00:01:45,'2018112900014921427,467926.64,3,6526276,0,0,,'2018112900106709376,0,115885,3,'2018-11-29 09:01:45
BTC_JPY,'2018-11-29 00:01:45,'2018112900014921429,467926.64,0.01,6526277,0,0,,'2018112900106709377,0,115886,3,'2018-11-29 09:01:45
BTC_JPY,'2018-11-29 00:01:48,'2018112900014921433,467926.64,0.11,6526278,0,0,,'2018112900106709379,0,115887,3,'2018-11-29 09:01:48
BTC_JPY,'2018-11-29 00:01:48,'2018112900014921435,467926.64,0.01,6526279,0,0,,'2018112900106709380,0,8107,3,'2018-11-29 09:01:48
BTC_JPY,'2018-11-29 00:01:50,'2018112900014921438,467926.64,0.01,6526280,0,0,,'2018112900106709382,0,115888,3,'2018-11-29 09:01:50
